Platform,Publisher
X360,Microsoft Game Studios
PS3,Take-Two Interactive
X360,Take-Two Interactive
PS4,Take-Two Interactive
X360,Bethesda Softworks
PS4,Electronic Arts
XB,Microsoft Game Studios
PS3,Electronic Arts
PC,Electronic Arts
PSP,Take-Two Interactive
X360,Electronic Arts
PS4,Bethesda Softworks
PS3,Bethesda Softworks
SNES,Capcom
PS3,Sony Computer Entertainment Europe
PS3,Warner Bros. Interactive Entertainment
PSP,Capcom
PS3,Square Enix
PC,Microsoft Game Studios
PS3,Capcom
XOne,Take-Two Interactive
X360,Warner Bros. Interactive Entertainment
