,Nintendo,Sega,LucasArts,505 Games,Capcom,Ubisoft,Microsoft Game Studios,Electronic Arts,Activision,Take-Two Interactive,Bethesda Softworks,Warner Bros. Interactive Entertainment,Sony Computer Entertainment,Square Enix,Konami Digital Entertainment,Sony Computer Entertainment Europe,Virgin Interactive,GT Interactive,SquareSoft,Eidos Interactive
Nintendo,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sega,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LucasArts,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505 Games,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capcom,1,0,0,0,0,1,0,1,1,2,1,1,1,1,1,1,0,0,0,0
Ubisoft,1,1,1,1,1,0,1,2,2,2,2,2,1,1,1,1,0,0,0,0
Microsoft Game Studios,0,0,0,0,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0
Electronic Arts,0,0,0,0,1,2,2,0,4,3,3,2,1,1,1,1,0,0,0,0
Activision,0,0,0,0,1,2,2,4,0,4,3,2,2,1,2,1,1,1,1,1
Take-Two Interactive,0,0,0,0,2,2,1,3,4,0,3,2,1,1,1,1,0,0,0,0
Bethesda Softworks,0,0,0,0,1,2,1,3,3,3,0,2,1,1,1,1,0,0,0,0
Warner Bros. Interactive Entertainment,0,0,0,0,1,2,1,2,2,2,2,0,1,1,1,1,0,0,0,0
Sony Computer Entertainment,0,0,0,0,1,1,0,1,2,1,1,1,0,1,2,1,1,1,1,1
Square Enix,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0
Konami Digital Entertainment,0,0,0,0,1,1,0,1,2,1,1,1,2,1,0,1,1,1,1,1
Sony Computer Entertainment Europe,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Virgin Interactive,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
GT Interactive,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1
SquareSoft,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1
Eidos Interactive,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
